Timestamp,Twitch;Username,Twitter;(if;you;have;one),Predictions;[Super;Mario;Odyssey;Any%;Best;of;3],Predictions;[New;Super;Luigi;U],Predictions;[Pikmin;"2],""Predictions";[Mega;Man;X;Trilogy;(X,;X2,;"X3)]"",Predictions";[Super;Mario;All;Stars;],Predictions;[Zelda:;BOTW;8;Hour;Shrine;Challenge],Predictions;[Forbidden;Memories],Predictions;[Mario;Party;1;Mini;Game;Island;Best;of;3],Predictions;[Mario;Kart;64;],Predictions;[Spyro;1],Predictions;[Crash;Team;Racing],Predictions;[F;"Zero],""Predictions";[BID;WAR;1;(NG2,;BT,;"SGNG)]"",Predictions";[Aladdin],Predictions;[Magical;Quest;Starring;Mickey;Mouse],Predictions;[The;Lion;King],Predictions;[Donkey;Kong;64;Any%],Predictions;[Mario;Power;Tennis],Predictions;[BID;WAR;2;(Mario;Golf64;vs;Mario;Golf:;Toadstool;Tour)],Predictions;[SM64;Team;Bingo],Predictions;[MK8;Team;Racing;(Pie's;Team;vs;Spike's;Team],Predictions;[Zelda;2],Predictions;[Super;Monkey;Ball;2],Predictions;[(BONUS);Super;Monkey;Ball;1;Runback],Predictions;[Mario;Party;3;Story;Mode;],Predictions;[Super;Mario;Odyssey;503],Predictions;[Pokemon;Catch;em;8;Hour;Challenge],Predictions;[Sonic;Adventure;2;Battle;-0;All;Stories],Predictions;[Ocarina;of;Time:;Master;Quest],Predictions;[Star;Fox;64;Point;Challenge],Predictions;[Golden;Eye;Secret;Agent],Predictions;[SMRPG;Lowl;Level],Predictions;[Grab;Bag;Bid;War;],Predictions;[Mario;is;Missing],Predictions;[Quest;64],Predictions;[Super;Metroid],Predictions;[Super;Mario;64;Chaos;Edition],TIE;BREAKER;Final;Time;of;WINNER;OF;SMRPG;LOW;LEVEL;(Price;is;Right;Rules);(Example:;9:42:06),Bonus;Question;-0;Favorite;Run;You're;looking;forward;to;watching?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:17:31,walruscustard,,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,8:29:59,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:17:42,Montananinja,@montananinja,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Skip;this,Iateyourpie,Spikevegeta,Iateyourpie,Skip;this,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,9:50:23,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:17:46,MeanMugDoug,MeanMug_Doug,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Skip;this,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,10:36:01,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:17:53,bradnthings,bradnthings,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,6:09:42,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:18:04,norrarose,,Spikevegeta,Spikevegeta,Spikevegeta,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,13:29:14,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:18:05,TheEqualists,,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,8:59:59,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:18:05,emerald000,,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,12:45:38,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:18:16,TheDungeonDude,@TruthsAssassin,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,10:24:24,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:18:31,Cavi,@MYNAMEISCAVI,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,9:25:09,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/2018;20:18:35,Chaos_Artisan,@Chaos_Artisan,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Spikevegeta,Iateyourpie,Iateyourpie,Spikevegeta,Spikevegeta,Iateyourpie,Iateyourpie,Iateyourpie,8:36:17,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
